,epoch,loss,train acc,test acc,time
0,1,0.01241064347602703,0.5843621399176955,0.6671232876712329,0.19440913200378418
1,2,0.007379932536019219,0.8415637860082305,0.7205479452054795,0.1866893768310547
2,3,0.005553722534895924,0.9084362139917695,0.7328767123287672,0.18584179878234863
3,4,0.00434718025012762,0.926954732510288,0.7054794520547946,0.17323803901672363
4,5,0.0034502610226962794,0.9670781893004116,0.7205479452054795,0.16600990295410156
5,6,0.0028624702704909406,0.9742798353909465,0.7232876712328767,0.17692828178405762
6,7,0.002349815519196997,0.9845679012345679,0.7178082191780822,0.1672656536102295
7,8,0.0018501712216271295,0.9886831275720165,0.7246575342465753,0.1660165786743164
8,9,0.0016050867261096773,0.9938271604938271,0.7123287671232876,0.18120217323303223
9,10,0.0012834390985622327,0.9917695473251029,0.7150684931506849,0.1628127098083496
10,11,0.0011053789223049893,0.9948559670781894,0.7150684931506849,0.23399019241333008
11,12,0.0009571096204497196,0.9958847736625515,0.7082191780821918,0.22175168991088867
12,13,0.0009020842197868559,0.9958847736625515,0.7164383561643836,0.17711853981018066
13,14,0.0006724623139227123,1.0,0.7013698630136986,0.1636486053466797
14,15,0.0008521688691965102,0.9969135802469136,0.7178082191780822,0.1682596206665039
15,16,0.0006822521813643076,0.9979423868312757,0.7164383561643836,0.16510581970214844
16,17,0.0006267460917770372,0.9979423868312757,0.7150684931506849,0.17701506614685059
17,18,0.0005733381205625495,0.9969135802469136,0.7109589041095891,0.16925573348999023
18,19,0.000433539025056264,0.9989711934156379,0.7068493150684931,0.1692667007446289
19,20,0.00043087264085993354,0.9979423868312757,0.7082191780821918,0.1737823486328125
20,21,0.0005785704632538827,0.9989711934156379,0.7082191780821918,0.16626906394958496
21,22,0.0004000789715827983,0.9989711934156379,0.7123287671232876,0.17512154579162598
22,23,0.0003389909915212128,0.9989711934156379,0.7095890410958904,0.1670534610748291
23,24,0.0003939972253355347,0.9989711934156379,0.7041095890410959,0.16726446151733398
24,25,0.0012722333256967764,0.9948559670781894,0.7027397260273973,0.1768054962158203
25,26,0.000573915734105272,0.9938271604938271,0.7095890410958904,0.17042756080627441
26,27,0.0005408325826618898,0.9948559670781894,0.7095890410958904,0.3001716136932373
27,28,0.00033229863301778036,0.9958847736625515,0.7095890410958904,0.16802048683166504
28,29,0.00040962088349133486,0.9969135802469136,0.7301369863013699,0.17323923110961914
29,30,0.0003634570880290964,0.9979423868312757,0.726027397260274,0.16802024841308594
30,31,0.0002762565548328583,1.0,0.7356164383561644,0.18294310569763184
31,32,0.00029836700886196684,0.9979423868312757,0.7383561643835617,0.17921185493469238
32,33,0.00040306550605843466,0.9958847736625515,0.7301369863013699,0.17099690437316895
33,34,0.0003454166430014151,0.9989711934156379,0.726027397260274,0.1717233657836914
34,35,0.00045780631341806657,0.9958847736625515,0.7136986301369863,0.16902875900268555
35,36,0.0003608910380306926,0.9958847736625515,0.726027397260274,0.1720137596130371
36,37,0.0008657287007174742,0.9917695473251029,0.7342465753424657,0.16925477981567383
37,38,0.0004866971785716191,0.9886831275720165,0.726027397260274,0.17323827743530273
38,39,0.0008901259421137135,0.9938271604938271,0.7287671232876712,0.1687154769897461
39,40,0.0007359072749997363,0.9866255144032922,0.7178082191780822,0.17262697219848633
40,41,0.0005867443288917895,0.9938271604938271,0.7246575342465753,0.20211076736450195
41,42,0.00040831629219445796,0.9917695473251029,0.736986301369863,0.25965237617492676
42,43,0.000541941000727377,0.9917695473251029,0.7219178082191781,0.16925477981567383
43,44,0.0004160423722853999,0.9948559670781894,0.7205479452054795,0.17025208473205566
44,45,0.00036586650767949996,0.9938271604938271,0.7150684931506849,0.16693353652954102
45,46,0.0002606208414632689,0.9979423868312757,0.7205479452054795,0.17622613906860352
46,47,0.0002864665862502446,0.9989711934156379,0.7315068493150685,0.17001724243164062
47,48,0.0003337832285118109,0.9969135802469136,0.7287671232876712,0.17025136947631836
48,49,0.0005250112642246632,0.992798353909465,0.7205479452054795,0.17323803901672363
49,50,0.00029754714461603036,0.9979423868312757,0.7178082191780822,0.16526293754577637
50,51,0.0002911637830375521,0.9969135802469136,0.7164383561643836,0.16897130012512207
51,52,0.00035737544550165656,0.992798353909465,0.7109589041095891,0.17392492294311523
52,53,0.00021005316815672466,0.9979423868312757,0.7095890410958904,0.1611945629119873
53,54,0.000251008853519435,0.9969135802469136,0.7109589041095891,0.1714479923248291
54,55,0.00026699147065488215,0.9979423868312757,0.7082191780821918,0.1802082061767578
55,56,0.00020936798565894548,0.9969135802469136,0.7068493150684931,0.17411255836486816
